Depth.Correct,DepthCM.Vania,Depth.predict,_2.5,_10,Age.bchron062722B,_90,_975,Codes,Spike,Abies,A.rubrum,A.sacch,A.sac,A.rugosa,A.crispa,Betula,Carya,Castanea,C.stolon,C.florida,Corylus,Fagus,F.nigra,F.penn,Ilex,J.ciner,J.nigra,Juniper,Erica,Empetrum,Vaccinium,Andromeda,Rhododen,Larix,Liquidam,Magnolia,Morus,Myrica,Nyssa,Os/Ca,Picea,P.diplo,P strobu,Pinus,Platanus,Populus,Prunus,Quercus,Salix,Sambucus,S.argen,Spirea,Tilia,Tsuga,Ulmus,Viburnum,Sambucus nigra,Vitis,Achilea,Ambrosia,Artemisi,Aster,Bidens,Chenopod,Petalosp,Hum.lu,Fabae.ud,Iva anua,Ran.ud,Thalictr,Rosa,Rumex,Urtica,Xanthium,Poaceae,San. officinalis,Apiaceae,Brasenia,Botrich,Botrioc,Cyperace,Dryopter,Equ,Glomus,Lyc.an,Lyc clav,Lyc.lu,Lyc.sel,Polypodi,T.latif,Nuphar,Nym,Nym.cell,Osmunda,Pediastr,Isoetes,Potamoge,Pteridiu,Tracheids,Sagitari,Sel.de-t,Sphagnum,sp.tri,Sporomie,Gelasino,Unknoun,SUM(A),SUM(B),SUM(L),SSUM(P),SSUM(C)
,,,,,,,,,Spike,Abies,Acer rubrum,Acer saccharinum-type,Acer saccharum,Alnus incana-type,Alnus viridis-type,Betula,Carya,Castanea,Cornus stolonifera-type,Cornus florida,Corylus,Fagus,Fraxinus nigra-type,Fraxinus pennsylvanica-type,Ilex,Juglans cinerea,Juglans nigra,Juniperus/Thuja,Ericaceae,Empetrum/Ledum,Vaccinium-type,Andromeda,Rhododendron,Larix,Liquidambar,Magnolia,Morus,Myrica,Nyssa,Ostrya/Carpinus,Picea,Pinus banksiana/resinosa,Pinus strobus,Pinus undiff.,Platanus,Populus tremuloides-type,Prunus-type,Quercus,Salix,Sambusus,Sherperdia argentea,Spirea,Tilia,Tsuga,Ulmus,Viburnum,Sambucus nigra,Vitis,Achillea-type,Ambrosia-type,Artemisia,Aster-type,Bidens-type,Amaranthaceae,Dalea purpurea,Humulus lupulus,Fabaceae undiff.,Iva annua-type,Ranunculaceae,Thalictrum,Rosaceae undiff.,Rumex,Urtica,Xanthium,Poaceae,Sanguisorba officinalis,Apiaceae,Brasenia,Botrychium,Botryococcus,Cyperaceae,Dryopteris-type,Equisetum,Glomus,Lycopodium annotinum,Lycopodium clavatum,Lycopodium lucidulum,Lycopodium selago,Monolete fern spore,Typha latifolia,Nuphar,Nymphaea,Nymphaeaceae bottom trichoma cells,Osmunda,Pediastrum,Isoetes,Potamogeton/Triglochin,Pteridium aquilinum,Conifer tracheids,Sagitaria,Selaginella densa-type,Sphagnum,Spore (trilete),Sporormiella,Gelasinospora,Unknown,AP,NAP,Local el.,AP+NAP,AP+NAP+Local el.
,,,,,,,,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,P,P,C,A;B,A;B;L
585,585,585,-71,-68,-65,-63,-35.95,ª,19,0,4,0,4,1,2,104,3,1,0,,0,35,0,4,6,1,0,0,4,1,0,,,0,0,,0,0,0,0,0,25,9,1,3,0,0,60,0,,0,,1,135,6,,,0,0,17,1,0,1,0,0,0,,0,0,0,0,2,1,0,5,,,0,0,50,0,0,1,0,0,0,0,0,0,,0,2,0,0,0,1,0,,,0,0,0,0,,,0,410,27,54,437,491
606,606,606,-28,47,106.5,189,412,,14,0,3,0,6,3,0,77,12,1,0,,0,50,0,5,3,0,0,0,1,0,0,,,0,0,,0,0,3,5,1,31,6,0,0,0,0,46,0,,0,,1,175,3,,,0,0,19,0,3,0,0,0,0,,0,0,0,3,1,0,0,2,,,2,0,27,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,,,0,0,0,0,,,0,432,28,30,460,490
635,635,635,53.95,236.75,322,403,539.05,═,17,0,4,0,9,4,0,128,6,4,0,,0,50,1,1,2,2,0,0,1,0,0,,,0,2,,0,0,4,1,0,23,29,0,2,0,0,72,0,,0,,0,161,1,,,0,0,13,0,0,0,0,0,0,,0,0,0,2,0,0,0,2,,,5,0,25,1,0,0,0,0,0,1,0,1,,1,1,0,0,1,0,2,,,0,0,0,2,,,0,507,17,40,524,564
651,651,651,150.975,363,441,502,594.05,F,7,0,1,3,5,3,0,84,1,4,0,,0,55,0,1,1,0,0,0,1,0,0,,,0,0,,0,0,1,4,0,20,26,0,2,0,0,40,0,,0,,0,179,3,,,0,0,11,1,0,0,0,0,0,,0,0,0,2,2,0,0,1,,,4,0,43,1,0,0,0,0,0,0,0,0,,0,1,19,0,0,0,1,,,0,0,1,2,,,0,434,17,72,451,523
676,676,676,611.975,697,768,943,1560.475,ª1B-97.5,35,0,2,0,10,0,0,153,6,4,0,,0,54,0,5,0,0,0,0,2,0,,,,,0,,,0,0,3,0,3,30,1,4,0,0,64,1,0,,,2,160,4,0,,0,,1,2,0,0,0,0,,0,,,0,2,,,,0,,,0,0,14,0,,0,,,,0,,1,0,,0,26,0,0,10,3,0,,,,0,1,0,,,508,5,55,513,568
693,693,693,737.925,980.75,1219,1531,2324.025,F,8,2,5,3,6,1,0,154,5,5,0,,1,54,0,3,1,0,0,0,0,1,0,,,0,1,,0,0,1,1,1,14,21,2,1,0,0,81,0,,0,,2,113,6,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,,,0,0,29,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,1,,,0,0,0,0,,,0,485,1,34,486,520
707,707,707,861.85,1272,1569,1892.25,2576.05,ª2B-20.5,34,0,4,2,12,0,1,126,9,5,0,,0,52,0,5,0,0,0,0,1,0,,,,,0,,,0,0,5,2,4,30,5,3,0,0,78,0,0,,,0,170,9,1,,0,,0,1,0,0,1,0,,0,,,0,0,,,,0,,,2,0,47,2,,0,,,,0,,0,0,,0,6,0,0,5,1,0,,,,1,4,0,,,524,2,68,526,594
724,724,724,1024.925,1644.25,1992,2302,2808.025,F,6,1,1,0,11,3,1,73,12,7,0,,0,59,11,3,0,0,0,0,1,0,2,,,0,0,,0,0,0,9,0,26,14,3,0,0,0,66,0,,0,,2,90,5,,,0,0,0,0,2,0,2,0,0,,0,0,0,0,0,0,0,0,,,0,0,19,3,0,0,0,0,0,0,0,1,,1,2,2,0,0,3,0,,,0,1,2,1,,,0,400,4,35,404,439
