Age,Charcoal Accummulation rate
1148,0.16
1173,0.814814815
1200,0.418300654
1225.5,0.641509434
1252,0.163265306
1276.5,0.641509434
1303,0.222222222
1327,0.4
1357,0.936170213
1380.5,0.680851064
1404,1.672727273
1431.5,0.744186047
1453,0.699300699
1479,0.857142857
1503.5,0.470588235
1529,0.927536232
1552,0.307692308
1578,0.603773585
1604.5,1.163636364
1632,1.076923077
1658,0.603773585
1684.5,1.122807018
1713,0.571755289
1739.5,0.533333333
1762,0.923076923
1788,0.576923077
1814,0.25
1838,0.92
1863,0.742115028
1887.5,0.976744186
1909,2.051282051
1939,0.692307692
1965,2.571428571
1993,0.85106383
2016.5,0.6
2036.5,1.739130435
2059.5,0.905660377
2086,2.042553191
2109.5,1.642857143
2137.5,0.855345912
2164,1.165501166
2190,1.307692308
2216,1.488372093
2237.5,0.461538462
2257,0.865800866
2278,1.860465116
2299.5,0.821777093
2329,1.244444444
2351.5,1.632653061
2376,0.740740741
2403,0.318979266
2431.5,1.346938776
2456,1.130434783
2479,2.666666667
2503,0.636363636
2525,0.844444444
2547.5,0.416666667
2571.5,0.731707317
2592,0.307692308
2618,0.607142857
2646,0.156862745
2671.5,0.181818182
2699,0.356506239
2724.5,0.290909091
2752,0.237670826
2777.5,0.325203252
2798,0.414814815
2820.5,0.771929825
2849,0.075471698
2875.5,0.736842105
2904,0.592592593
2931,0.75862069
2960,0.317460318
2991.5,1.672131148
3022,0.4
3057,0.326086957
3103,0.274509804
3154,0.233766234
3192.5,0.35443038
3232,0.595238095
3274,1.35
3314,0.415584416
3352.5,0.168776371
3392,0.8
3432,0.444444444
3472.5,1.123287671
3509,0.45
3549,1.024390244
3590,0.105263158
3628,0.58974359
3667,0.421052632
3705,0.725
3745,0
3782,0.846153846
3821,0.311688312
3859.5,1.139240506
3899,0.405063291
3938.5,1.333333333
3979,0.114285714
4014,1.555555556
4050,0.342105263
4088,0.111111111
4124,1.081081081
4161,0.839506173
4201.5,0.103896104
4240,0.52
4290,0.590909091
4334,0.064516129
4365,0.304347826
4388,0.301886793
4407.5,0.111111111
4425,0.675675676
4441,1.6
4459,1.428571429
4477.5,0.48
4496,0.5
4511,0.648648649
4532,0.116504854
4551.5,0.228571429
4569.5,
4585.5,0.628571429
4604,0.375
4621,0.046511628
4637,0.355555556
4655.5,2.341463415
4692,0.260869565
4709.5,1.647058824
4725.5,0.411764706
4747,1.162790698
4769.5,0.727272727
4790,0.8
4813,1.058823529
4830,2.421052632
4847,0.619047619
4868.5,2.347826087
4885,1.111111111
4905,0.971428571
4922,1.571428571
4941,1.034482759
4962,0
4985,1.741935484
5003,0.228571429
5020.5,0.461538462
5034.5,0.186046512
5049,0.1875
5068,0.129032258
5083.5,0.325581395
5101,0.333333333
5118,0.523809524
5137.5,0.324324324
5153,0.378378378
5174.5,1.111111111
5190.5,0.810810811
5206,0
5227.5,0.647058824
5245.5,0.055555556
5266.5,0.307692308
5285,0.238095238
5303.5,0.648648649
5321.5,0.121212121
5340,0.428571429
5359.5,0.102564103
5376.5,0.4
5394.5,0.121212121
5414,0.733333333
5435,0.266666667
5453.5,0.571428571
5470,0.705882353
5484,0.8125
5503.5,0.044444444
5521,0.4
5537.5,0.181818182
5552.5,0.378378378
5567.5,0.421052632
5585,0.871794872
5602,0.153846154
5618,0.555555556
5640.5,0.333333333
5655.5,0.4
5672,0
5690.5,0.23255814
5709.5,0.714285714
5729,0.742857143
5742,3.066666667
5760,0.5
5778,0.551724138
5793,1.073170732
5804.5,1.189189189
5826,0.363636364
5840,0.363636364
5857.5,0.432432432
5872.5,1.090909091
5894.5,1.435897436
5909,0.75
5929.5,1.0625
5948,0.090909091
5964.5,1.696969697
5981,2.157894737
5999.5,1.705882353
6016,1.142857143
6035.5,0.5625
6051.5,0.4
6067.5,0.5
6089.5,0.761904762
6106,0.65
6125,0.823529412
6142,0.457142857
6159.5,1.538461538
6175.5,1.621621622
6195.5,0.972972973
6217.5,0.222222222
6235,0.277777778
6255,0.05
6272,0.25
6289.5,0.173913044
6309,0.2
6327.5,0
6346,0.161290323
6364,0.071428571
6382,0.04
6400,1.307692308
6420,0.260869565
6440,0.304347826
6463,0.153846154
6493,0.318181818
6527,0.208333333
6558,0.12
6586,0.130434783
6611,0.68
6637,0.040816327
6660,0.266666667
6683,1.106918239
6709,0.2
6731,0.170212766
6755,0.463768116
6780,0.695652174
6803,0.32
6828,0.125
6852.5,0.173913044
6875,0.304347826
6901.5,0
6926.5,0.679738562
6950,0.274509804
6973,0.204081633
6996,0.040816327
7021,0.086956522
7045,0.12
7068,0.166666667
7091,0.325581395
7115,0.31372549
7140.5,0.104166667
7166,0.153846154
7190.5,0.130434783
7215,0.916666667
7238,0.307692308
7263,0.333333333
7287,0.24
7308.5,0.458333333
7334,0.76
7358,0.391304348
7382,1
7408,0.071428571
7431,0.539130435
7455,0.066666667
7481,0.484848485
7505,0.666666667
7530,1.018181818
7554,0.581818182
7579,0.652173913
7602,0.188679245
7631,0.350877193
7673,0.150943396
7719.5,0.375
7758,0.333333333
7788,0.925925926
7821,0.730769231
7849.5,0.196721312
7877,0.431372549
7904.5,-0.000611696
7927.5,0.037735849
7954,0.035087719
7982.5,0.037735849
8009,0.03125
8041,0.041666667
8065,0.037037037
8092,0.038461538
8118,0.032786885
8148.5,0.040816327
