Age,LakeElev.cm.below.mod,UpperBound,LowerBound,Lake_Level_Below_Modern
50,0,0,0,0
100,-2.097222222,0,-4.194444444,2.097222222
150,-4.180555556,0,-8.361111111,4.180555556
200,-6.277777778,0,-12.55555556,6.277777778
250,-8.375,0,-16.75,8.375
300,-10.47222222,0,-20.94444444,10.47222222
350,-12.56944444,0,-25.13888889,12.56944444
400,-14.66666667,0,-29.33333333,14.66666667
450,-16.76388889,0,-33.52777778,16.76388889
500,-18.86111111,0,-37.72222222,18.86111111
550,-20.95833333,0,-41.91666667,20.95833333
600,-37.0513511,-12.63492063,-61.46778156,37.0513511
650,-39.14857332,-12.63492063,-65.662226,39.14857332
700,-41.248211,-12.63492063,-69.86150136,41.248211
750,-29.36352657,0,-58.72705314,29.36352657
800,-31.46618357,0,-62.93236715,31.46618357
850,-33.56763285,0,-67.1352657,33.56763285
900,-35.65881643,0,-71.31763285,35.65881643
950,-37.7602657,0,-75.5205314,37.7602657
1000,-39.8647343,0,-79.7294686,39.8647343
1050,-41.96966184,0,-83.93932367,41.96966184
1100,-44.07111111,0,-88.14222222,44.07111111
1150,-46.18222222,0,-92.36444444,46.18222222
1200,-48.29166667,0,-96.58333333,48.29166667
1250,-50.40277778,0,-100.8055556,50.40277778
1300,-52.50694444,0,-105.0138889,52.50694444
1350,-54.61805556,0,-109.2361111,54.61805556
1400,-56.72222222,0,-113.4444444,56.72222222
1450,-58.82638889,0,-117.6527778,58.82638889
1500,-60.92361111,0,-121.8472222,60.92361111
1550,-63.02777778,0,-126.0555556,63.02777778
1600,-65.13285024,0,-130.2657005,65.13285024
1650,-67.24396135,0,-134.4879227,67.24396135
1700,-69.35205314,0,-138.7041063,69.35205314
1750,-71.45531401,0,-142.910628,71.45531401
1800,-73.56642512,0,-147.1328502,73.56642512
1850,-75.66666667,0,-151.3333333,75.66666667
1900,-77.77777778,0,-155.5555556,77.77777778
1950,-79.88383838,0,-159.7676768,79.88383838
2000,-82.02272727,0,-164.0454545,82.02272727
2050,-84.16540404,0,-168.3308081,84.16540404
2100,-101.9775172,-18.6678744,-185.2871601,101.9775172
2150,-104.0305475,-18.6678744,-189.3932207,104.0305475
2200,-105.6494122,-18.6678744,-192.6309501,105.6494122
