Age,Picea,P.diplo,P strobu,Pinus,Quercus,Betula,Tsuga,Fagus,Ambrosia,Artemisi,Aster,Poaceae,Abies,A.rubrum,A.sacch,A.sac,A.rugosa,A.crispa,Carya,Castanea,C.stolon,C.florida,Corylus,F.nigra,F.penn,Ilex,J.ciner,J.nigra,Juniper,Erica,Empetrum,Vaccinium,Andromeda,Rhododen,Larix,Liquidambar,Magnolia,Morus,Myrica,Nyssa,Os/Ca,Platanus,Populus,Prunus,Salix,Sambucus,S.argen,Spirea,Tilia,Ulmus,Viburnum,Sambucus nigra,Vitis,Achilea,Bidens,Chenopod,Petalosp,Hum.lu,Fabae.ud,Iva anua,Ran.ud,Thalictr,Rosa,Rumex,Urtica,Xanthium,San. officinalis,Apiaceae,Brasenia,Botrich,Botrioc,Cyperace,Dryopter,Equ,Glomus,Lyc.an,Lyc clav,Lyc.lu,Lyc.sel,Polypodi,T.latif,Nuphar,Nym,Nym.cell,Osmunda,Pediastr,Isoetes,Potamoge,Pteridiu,Tracheids,Sagitari,Sel.de-t,Sphagnum,SC0,Sporomie,Gelasino,Unknoun
0,0,5.7,2.1,0.2,13.7,23.8,30.9,8,3.9,0.2,0,1.1,0,0.9,0,0.9,0.2,0.5,0.7,0.2,0,0,0,0,0.9,1.4,0.2,0,0,0.9,0.2,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0.2,1.4,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.5,0.2,0,0,0,0,0,10.2,0,0,0.2,0,0,0,0,0,0,0,0,0.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
109,0.2,6.7,1.3,0,10,16.7,38,10.9,4.1,0,0.7,0.4,0,0.7,0,1.3,0.7,0,2.6,0.2,0,0,0,0,1.1,0.7,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.7,1.1,0,0,0,0,0,0,0,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.2,0,0,0,0,0.4,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0,4.4,5.5,0,13.7,24.4,30.7,9.5,2.5,0,0,0.4,0,0.8,0,1.7,0.8,0,1.1,0.8,0,0,0,0.2,0.2,0.4,0.4,0,0,0.2,0,0,0,0,0,0.4,0,0,0,0.8,0.2,0.4,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.9,0,4.4,0.2,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0,0,0.2,0,0.4,0,0,0,0,0,0.4,0,0,0
457,0,4.4,5.8,0,8.9,18.6,39.7,12.2,2.4,0.2,0,0.2,0,0.2,0.7,1.1,0.7,0,0.2,0.9,0,0,0,0,0.2,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0.9,0.4,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0.8,0,8.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,3.6,0,0,0,0.2,0,0,0,0,0.2,0.4,0,0,0
777,0,0.6,5.8,0.2,12.5,29.8,31.2,10.5,0.2,0.4,0,0,0,0.4,0,1.9,0,0,1.2,0.8,0,0,0,0,1,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.6,0.8,0,0,0.2,0,0,0,0.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0.2,0,0,0,4.6,0,0,1.8,0.5,0,0,0,0,0,0.2,0,0,0
1225.5,0.2,2.9,4.3,0.4,16.7,31.7,23.3,11.1,0,0,0,0.2,0.4,1,0.6,1.2,0.2,0,1,1,0,0,0.2,0,0.6,0.2,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0.4,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0,0,0,0,0,0,0,0
1578,0.4,0.8,5.7,1,14.8,24,32.3,9.9,0,0.2,0,0,0,0.8,0.4,2.3,0,0.2,1.7,1,0,0,0,0,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,1.7,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,7.9,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8,0.2,0,0,0,0,0.2,0.7,0,0,0
2016.5,0,6.4,3.5,0.7,16.3,18.1,22.3,14.6,0,0,0.5,0,0.2,0.2,0,2.7,0.7,0.2,3,1.7,0,0,0,2.7,0.7,0,0,0,0,0.2,0,0.5,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0.5,1.2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0.7,0,0,0,0,0,0,0,0.2,0,0.2,0.5,0.5,0,0,0.7,0,0,0,0,0.2,0.5,0.2,0,0,0
2376,0,0.9,3.5,7.9,13.5,32,17.6,11.7,0.3,0,0.2,0,0,1,0,1.7,0.5,0.3,1.4,0.7,0,0,0.3,0.2,1,0.2,0.2,0,0,0.9,0,0,0,0,0,0,0,0,0,0,1.6,0.5,0,0,0.2,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.3,0,0,0,0,0,0,0,0.2,0,0,0.3,0.6,0,0,7.1,0,0,0,0,0,0.2,0.3,0,0.3,0.2
2777.5,0.2,0.7,8.3,3.2,13.8,25,29.8,9,0.2,0.2,0,0,0,0.9,0,1.2,0.7,0,1.8,1.4,0,0,0.2,0.7,0.4,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0,0.2,0.4,0.5,0,0,0,0,0,0,0,0,0.7,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,3,0.2,0,0,0,0,0,0.3,0,0,0
