,AbsDepth,Adjust.Depth,Section,Bottom.increment.cm,Depth.predict,_2.5,_10,Age.bchron062722B,_90,_975,LOI
1,585,0,1,7,585,-72,-68,-65,-63,-45,50.81632653
2,586,1,1,8,586,-64,-60,-56,-45,32.025,50.73741312
3,587,2,1,9,587,-62,-55,-47,-25,97.1,50.78915859
4,588,3,1,10,588,-60,-50,-39,-6.75,132,51.19416873
5,589,4,1,11,589,-58.025,-44,-30,8.25,165.15,50.49554014
6,590,5,1,12,590,-57,-39,-22,21,183.05,50.39358601
7,591,6,1,13,591,-55,-34,-13,36,213.025,50.96789708
8,592,7,1,14,592,-53.025,-28,-5,47,239.075,49.95473943
9,593,8,1,15,593,-52,-23,4,59,256.1,50.07411067
10,594,9,1,16,594,-50,-18,11.5,69,276.075,50.31220938
11,595,10,1,17,595,-48,-13,20,80,295,50.0284657
12,596,11,1,18,596,-45.05,-7,29,93,303,50.24529378
13,597,12,1,19,597,-43.05,-1,36,102,309.025,50.20968357
14,598,13,1,20,598,-42.025,4.75,45,114,314.05,50.16949153
15,599,14,1,21,599,-39.025,11,53,123.25,324.05,49.47368421
16,600,15,1,22,600,-37,16,61.5,132,336.025,50.40931184
17,601,16,1,23,601,-34.025,21.75,69,140.25,344.05,50.39213919
18,602,17,1,24,602,-32,28,76,150,353.05,50.42136369
19,603,18,1,25,603,-30,33,84,159.25,359.35,49.9813734
20,604,19,1,26,604,-28,39,92,171,374.1,49.71632696
21,605,20,1,27,605,-24.025,44,100,180.5,384,49.4169633
22,606,21,1,28,606,-22,50,109,186.25,390,49.0415501
23,607,22,1,29,607,-18.025,58,117,194.25,396.025,49.71553611
24,608,23,1,30,608,-16,64,125,202,402.05,50.07975821
25,609,24,1,31,609,-13,72,134,211.25,407.025,52.27632621
26,610,25,1,32,610,-9,81,142,218,416.025,52.0754717
27,611,26,1,33,611,-7,89,150,227,421.2,52.25924634
28,612,27,1,34,612,-4,94,158.5,236,425.1,52.2950542
29,613,28,1,35,613,-2,100,167,245,431.025,52.33982412
30,614,29,1,36,614,6.975,107,174.5,254,440,52.35540817
31,615,30,1,37,615,11.975,114,182,260,446.025,51.73727167
32,616,31,1,38,616,14,122.75,190,266,451.125,51.58631027
33,617,32,1,39,617,15.975,129,199,277.25,461.025,51.23200565
34,618,33,1,40,618,17,137.75,207,286.25,464.025,51.86421814
35,619,34,1,41,619,18.975,145,214,292,467.15,51.54974171
36,620,35,1,42,620,22.95,150,222,300,472.075,51.71766473
37,621,36,1,43,621,25.975,156,230,308,484,52.07784482
38,622,37,1,44,622,29,163,238,314,486.025,52.07808564
39,623,38,1,45,623,31.975,170,246.5,322.25,492.075,51.95339273
40,624,39,1,46,624,36.95,182,255,332,494.1,52.39896957
41,625,40,1,47,625,42.95,189,262,340,504,52.6590106
42,626,41,1,48,626,44.95,196,270,347,505.025,52.36542835
43,627,42,1,49,627,49.975,202,278.5,353,507.025,52.52774353
44,628,43,1,50,628,55,209,285,360,510,53.40309889
45,629,44,1,51,629,58.975,216,292.5,366.25,513,53.44135573
46,630,45,1,52,630,63.975,222,300,372.25,522.025,52.68612887
47,631,46,1,53,631,69.9,227,309,378.25,525.025,52.92848106
48,632,47,1,54,632,70.95,233.75,315.5,386,527.05,53.76672724
49,633,48,1,55,633,81.775,238.75,322,393,531.025,58.13686026
50,634,49,1,56,634,85.975,244,330,401,535.025,57.53435999
51,635,50,1,57,635,89.95,250,337,406,540.025,57.42382271
52,636,51,1,58,636,96.95,256,345,413,543.025,58.14718112
53,637,52,1,59,637,106.875,263,353,418.25,551,58.23651265
54,638,53,1,60,638,112.95,272,361,425.25,553,58.72374001
55,639,54,1,61,639,121.975,279.75,368,432,559.025,59.55997905
56,640,55,1,62,640,127.95,285,375.5,438.25,563.025,59.65560765
57,641,56,1,63,641,140.925,289.75,383,445,564.05,58.99385312
58,642,57,1,64,642,144.95,297.75,391,453.25,569,57.52773376
59,643,58,1,65,643,149.975,307,399,459,571,58.81197381
60,644,59,1,66,644,154,315,407,465.25,574.025,59.10828025
61,645,60,1,67,645,162,324.75,415,473,576,59.13870806
62,646,61,1,68,646,167,331,422,477.5,580,59.07461714
63,647,62,1,69,647,174,340,431,482.25,582.025,58.73736978
64,648,63,1,70,648,179.975,348.75,438.5,489,585.05,58.85154062
65,649,64,1,71,649,187.9,357.5,445.5,494.25,589.025,59.41153546
66,650,65,1,72,650,195.825,366,452,501,592.025,58.96196232
67,651,66,1,73,651,199,374,457,506,595,59.71615721
68,652,67,1,74,652,209.85,382.75,464.5,513.25,597.025,60.20240964
69,653,68,1,75,653,219.95,397,472,521,602,59.65215958
70,654,69,1,76,654,226.95,404,480,527,607,59.40468031
71,655,70,1,77,655,234.975,411.75,486,533.25,609.05,59.61278703
72,656,71,1,78,656,242.925,422,493.5,539,613,59.54252318
73,657,72,1,79,657,251.95,429.75,499,545,616.025,59.43192065
74,658,73,1,80,658,256.975,439.75,506,552,619.025,59.26862302
75,659,74,1,81,659,262.975,453,511,559,622,59.3678908
76,660,75,1,82,660,274.9,462,517.5,564,624,59.57174601
77,661,76,1,83,661,284.95,472,524,571,627,59.71128609
78,662,77,1,84,662,294.975,481,531,579,629,59.16136867
79,663,78,1,85,663,311.975,492,538,586.25,631.05,58.59228083
80,664,79,1,86,664,329.925,502,546,593,634.025,58.96710294
81,665,80,1,87,665,347.825,512,552,600,636,58.92896496
82,666,81,1,88,666,364.875,522,558.5,607.25,639,58.11271834
83,667,82,1,89,667,390.975,534.75,566.5,615,642.025,57.52631579
