Age,LakeElev.cm.below.mod,UpperBound,LowerBound
50,92.37939633,4.049098346,180.7096943
100,59.66971013,4.839513297,114.499907
150,22.31108909,5.554388653,39.06778952
200,9.100434469,5.969620048,12.23124889
250,10.41495363,6.55606966,14.27383759
300,10.64875823,5.813233485,15.48428298
350,11.37984196,5.891426767,16.86825714
400,11.56454126,5.304977155,17.82410536
450,12.25565754,5.265880514,19.24543457
500,13.00613757,5.304977155,20.70729798
550,14.69557535,6.595166301,22.79598441
600,15.11229857,6.321489815,23.90310732
650,14.94499564,5.031300669,24.85869061
700,14.08112802,2.685502221,25.47675381
750,14.45169486,2.17724589,26.72614383
800,15.00499139,2.17724589,27.83273689
850,15.5437168,2.17724589,28.91018771
900,16.02415774,2.17724589,29.87106958
950,16.49002756,2.17724589,30.80280922
1000,16.67068145,2.17724589,31.16411701
1050,16.8838163,2.17724589,31.59038672
1100,17.16771635,2.17724589,32.15818681
1150,18.1289991,2.17724589,34.08075231
1200,19.07381597,2.17724589,35.97038606
1250,20.01863285,2.17724589,37.86001981
1300,20.62747703,2.17724589,39.07770816
1350,23.58610625,4.642684058,42.52952845
1400,25.94385257,4.642684058,47.24502109
1450,26.88866945,4.642684058,49.13465484
1500,28.3470187,2.17724589,54.51679151
1550,30.72797025,2.17724589,59.27869461
1600,32.465483,2.17724589,62.75372012
1650,37.86796099,2.17724589,73.55867609
1700,51.36025945,5.717907533,97.00261136
1750,77.60852316,16.99425644,138.2227899
1800,72.68274947,16.99425644,128.3712425
1850,75.39427031,17.48726023,133.3012804
1900,91.93001883,30.74191333,153.1181243
1950,143.2490165,63.88859523,222.6094377
2000,169.8519037,87.36582997,252.3379775
2050,190.386417,105.3648784,275.4079555
2100,180.0575173,106.2416798,253.8733547
2150,156.482868,85.53082695,227.4349091
2200,135.3263425,70.04006573,200.6126192
2250,142.5573596,67.32299503,217.7917242
2300,191.3177926,110.3219228,272.3136625
2350,184.839264,101.6106914,268.0678365
2400,183.4664666,103.3850972,263.5478361
2450,170.983119,93.78795508,248.1782828
2500,181.3618928,113.3939699,249.3298158
2550,176.6853247,113.2453392,240.1253101
2600,164.3174701,102.8921552,225.7427851
2650,165.5631167,94.42422575,236.7020077
2700,141.974476,67.21373294,216.735219
2750,118.4357576,46.06311961,190.8083955
2800,109.6840828,51.0857534,168.2824123
2850,145.775446,91.35612742,200.1947646
2900,160.7944692,115.8213138,205.7676247
2950,159.2239336,114.9192336,203.5286336
3000,177.5530185,128.4283649,226.6776722
3050,186.1055329,134.4059528,237.805113
3100,187.9735101,135.6763776,240.2706426
3150,152.8647955,111.4557741,194.273817
3200,145.8657261,104.7732112,186.9582411
3250,131.8708399,79.76905672,183.972623
3300,135.0930437,67.91837258,202.2677148
3350,140.2860195,59.18889025,221.3831488
3400,132.8554656,52.77185256,212.9390786
3450,110.4752453,36.32275388,184.6277367
3500,108.9617535,48.04283203,169.880675
3550,133.6675071,80.6005188,186.7344954
3600,143.2911278,91.88889992,194.6933557
3650,126.4855351,63.85668987,189.1143804
3700,111.6533992,46.67704207,176.6297563
3750,131.4283239,72.82579126,190.0308565
3800,168.7115362,120.3911213,217.0319512
3850,200.8454192,154.3644776,247.3263607
3900,207.951938,160.4941561,255.4097199
3950,194.2088419,148.5093559,239.9083279
4000,183.5080086,138.9996778,228.0163395
4050,175.8239396,132.010186,219.6376932
4100,177.037172,132.8516386,221.2227054
4150,178.2504044,133.6930912,222.8077176
4200,172.285986,122.4255665,222.1464055
4250,166.2741021,111.0815461,221.4666581
4300,165.3168289,107.8356758,222.797982
4350,173.7077121,120.7861058,226.6293185
4400,182.1392219,133.8130314,230.4654123
4450,185.4820108,138.7418069,232.2222146
4500,186.6201839,139.5832595,233.6571083
4550,196.1311654,149.0748618,243.187469
4600,219.540285,173.1140224,265.9665475
4650,251.170994,206.0319564,296.3100317
4700,274.2613815,230.4793736,318.0433895
4750,283.3133889,240.5588656,326.0679122
4800,284.0035646,241.939217,326.0679122
4850,284.6937403,243.3195684,326.0679122
4900,279.9509725,238.6817687,321.2201763
4950,264.3750425,221.8221431,306.9279419
5000,248.8318371,204.7769937,292.8866805
5050,236.0541904,190.4626345,281.6457464
5100,234.1478848,188.1536568,280.1421128
5150,232.2470333,185.8137586,278.680308
5200,249.1542278,205.7123727,292.596083
5250,257.9938187,216.1199508,299.8676867
5300,277.5084028,239.6460527,315.3707529
5350,256.8758628,214.6347536,299.116972
5400,246.9837653,202.3709309,291.5965996
5450,218.4526991,166.9100568,269.9953413
5500,214.1005811,160.6953059,267.5058563
5550,207.3383697,151.100432,263.5763075
5600,208.8028793,151.4604032,266.1453555
5650,210.3958278,151.8203744,268.9712812
5700,214.6179822,155.8798248,273.3561396
5750,216.2109306,156.239796,276.1820653
5800,217.8038791,156.5997672,279.0079909
5850,219.3804652,157.1839161,281.5770143
5900,223.5808032,161.5422702,285.6193362
5950,225.1737516,161.9022414,288.4452619
6000,226.7503377,162.4863902,291.0142852
6050,230.9179511,167.2930996,294.5428025
6100,240.2676189,180.5449301,299.9903077
6150,249.584562,194.2451159,304.9240082
6200,246.1782768,185.9304245,306.4261291
6250,237.4116225,168.4769887,306.3462562
6300,230.7747016,156.6937454,304.8556577
6350,224.5286962,144.0140156,305.0433768
6400,218.3876871,131.5442783,305.2310958
6450,220.0317646,134.6447143,305.4188149
6500,229.1272194,153.3236935,304.9307453
6550,209.9352181,119.2740606,300.5963756
6600,192.1587173,86.24539169,298.0720429
6650,193.956878,89.6352222,298.2785338
6700,226.791607,151.2456318,302.3375822
6750,247.4180388,189.5987245,305.2373531
6800,250.2696717,194.4572546,306.0820889
