Age,Nmean,N.sd,N.plusSD,N.minusSD
0,19.73649779,0.412542139,20.14903993,19.32395565
50,19.69175817,0.437218468,20.12897664,19.2545397
100,19.70851648,0.480892183,20.18940867,19.2276243
150,19.68612758,0.431884402,20.11801198,19.25424317
200,19.62008701,0.398276028,20.01836304,19.22181098
250,19.57817859,0.393905734,19.97208433,19.18427286
300,19.71841642,0.427862645,20.14627906,19.29055377
350,19.69414558,0.406739049,20.10088463,19.28740653
400,19.70839271,0.399608421,20.10800114,19.30878429
450,19.75171945,0.420785972,20.17250542,19.33093348
500,19.77295439,0.38756058,20.16051497,19.38539381
550,19.85670429,0.344752385,20.20145667,19.5119519
600,20.03826605,0.419898939,20.45816499,19.61836711
650,19.88640442,0.417392743,20.30379717,19.46901168
700,19.80613136,0.442698003,20.24882936,19.36343335
750,19.69655744,0.417886832,20.11444427,19.27867061
800,19.75526518,0.415823339,20.17108852,19.33944184
850,19.87661902,0.415584396,20.29220342,19.46103463
900,19.92092866,0.403457175,20.32438583,19.51747148
950,20.00071501,0.405508072,20.40622308,19.59520693
1000,19.94022425,0.409407612,20.34963186,19.53081663
1050,19.92344462,0.411410121,20.33485474,19.5120345
1100,19.89967282,0.419337269,20.31901009,19.48033555
1150,19.79865771,0.401830178,20.20048788,19.39682753
1200,19.83010709,0.41410091,20.244208,19.41600618
1250,19.77846158,0.382544682,20.16100626,19.3959169
1300,19.89764126,0.390511676,20.28815293,19.50712958
1350,19.95501558,0.407483298,20.36249888,19.54753228
1400,19.94466556,0.41928656,20.36395212,19.525379
1450,19.91904939,0.414835374,20.33388477,19.50421402
1500,19.88584726,0.393759922,20.27960719,19.49208734
1550,19.90999186,0.381657852,20.29164972,19.52833401
1600,19.9350102,0.396521616,20.33153181,19.53848858
1650,20.03259166,0.413691038,20.4462827,19.61890062
1700,20.06750774,0.412123925,20.47963166,19.65538381
1750,20.01706093,0.400192381,20.41725331,19.61686855
1800,20.04999291,0.398413621,20.44840653,19.65157929
1850,20.02983631,0.385435367,20.41527168,19.64440094
1900,20.05941724,0.416355665,20.4757729,19.64306157
1950,20.08900262,0.399902194,20.48890481,19.68910042
2000,20.07274466,0.387094719,20.45983938,19.68564994
2050,20.05231271,0.363417107,20.41572981,19.6888956
2100,20.02184359,0.348845405,20.37068899,19.67299818
2150,20.0092267,0.354202566,20.36342927,19.65502414
2200,19.99360684,0.35940106,20.3530079,19.63420578
