ages.i,tjja.central.degC,tjja+1sigma,tjja-1sigma,tdjf.Central.degC,tdjf+1sigma,tdjf-1sigma,tjja.GradientDifference.degC,tdjf.GradientDifference.degC
0,18.37415427,18.84962597,17.89868257,-4.305196697,-3.829724999,-4.780668395,0.444718199,-2.193804109
50,18.18866958,18.66414128,17.71319788,-4.476542631,-4.001070933,-4.952014329,0.571644762,-2.887084216
100,18.37599186,18.85146356,17.90052016,-3.840300513,-3.364828815,-4.315772211,1.074363911,-1.25007469
150,18.37876463,18.85423633,17.90329293,-3.816922937,-3.341451239,-4.292394635,0.581253927,-1.23998634
200,18.35833988,18.83381158,17.88286818,-3.85296778,-3.377496082,-4.328439478,0.427520226,-1.623936408
250,18.34125543,18.81672713,17.86578373,-3.850667574,-3.375195876,-4.326139272,0.296286607,-1.695379488
300,18.33703363,18.81250533,17.86156193,-3.90509753,-3.429625832,-4.380569228,0.296577646,-1.605960217
350,18.31271602,18.78818772,17.83724432,-3.817285626,-3.341813928,-4.292757324,0.168153689,-1.650587637
400,18.30700634,18.78247804,17.83153464,-3.815763663,-3.340291965,-4.291235361,0.16392687,-1.717026623
450,18.31083034,18.78630204,17.83535864,-3.81361189,-3.338140192,-4.289083588,0.189983136,-1.70228322
500,18.32413733,18.79960903,17.84866563,-3.77004227,-3.294570572,-4.245513968,0.19332261,-1.576899478
550,18.41498007,18.89045177,17.93950837,-3.626865336,-3.151393638,-4.102337034,0.303388366,-1.330063538
600,18.39131911,18.86679081,17.91584741,-3.666122548,-3.19065085,-4.141594246,0.188236032,-1.416461404
650,18.37602084,18.85149254,17.90054914,-3.682529766,-3.207058068,-4.158001464,0.094360581,-1.577425978
700,18.38822899,18.86370069,17.91275729,-3.659930234,-3.184458536,-4.135401932,0.08046366,-1.650954903
750,18.38959369,18.86506539,17.91412199,-3.661478755,-3.186007057,-4.136950453,0.098669674,-1.628190788
800,18.33475914,18.81023084,17.85928744,-3.800595569,-3.325123871,-4.276067267,-0.057261747,-1.926821337
850,18.29917999,18.77465169,17.82370829,-3.929205173,-3.453733475,-4.404676871,-0.094556021,-2.118797064
900,18.29669531,18.77216701,17.82122361,-3.93450566,-3.459033962,-4.409977358,-0.046106614,-2.113227515
950,18.29421063,18.76968233,17.81873893,-3.939806147,-3.464334449,-4.415277845,-0.019628631,-2.088125663
1000,18.32498397,18.80045567,17.84951227,-4.04211171,-3.566640012,-4.517583408,0.131044567,-2.340544103
1050,18.34748505,18.82295675,17.87201335,-4.128711326,-3.653239628,-4.604183024,0.192451428,-2.403840844
1100,18.36119363,18.83666533,17.88572193,-4.037589263,-3.562117565,-4.513060961,0.331840076,-1.973085289
1150,18.33650289,18.81197459,17.86103119,-3.997002851,-3.521531153,-4.472474549,0.219004869,-1.900996896
1200,18.30153597,18.77700767,17.82606427,-4.059865108,-3.58439341,-4.535336806,-0.011654297,-2.227596891
1250,18.26555272,18.74102442,17.79008102,-4.132958552,-3.657486854,-4.60843025,-0.081223084,-2.331732476
1300,18.24473788,18.72020958,17.76926618,-4.082503023,-3.607031325,-4.557974721,-0.121376929,-2.091234311
1350,18.26409386,18.73956556,17.78862216,-3.97488056,-3.499408862,-4.450352258,-0.223713016,-1.839738466
1400,18.30706312,18.78253482,17.83159142,-3.917423177,-3.441951479,-4.392894875,-0.206282147,-1.841613592
1450,18.3695596,18.8450313,17.8940879,-3.838645402,-3.363173704,-4.3141171,-0.154000285,-1.792096686
1500,18.36269521,18.83816691,17.88722351,-3.817228878,-3.34175718,-4.292700576,-0.271183443,-1.957383827
1550,18.34931555,18.82478725,17.87384385,-3.794861105,-3.319389407,-4.270332803,-0.381466932,-2.027068779
1600,18.34216702,18.81763872,17.86669532,-3.797037944,-3.321566246,-4.272509642,-0.382395286,-1.971365263
1650,18.36728591,18.84275761,17.89181421,-3.740154773,-3.264683075,-4.215626471,-0.282559188,-1.794848042
1700,18.3869182,18.8623899,17.9114465,-3.691970145,-3.216498447,-4.167441843,-0.354470783,-1.882042787
1750,18.40571716,18.88118886,17.93024546,-3.644990107,-3.169518409,-4.120461805,-0.376715675,-1.783588094
1800,18.40935429,18.88482599,17.93388259,-3.591245549,-3.115773851,-4.066717247,-0.369258643,-1.591645438
1850,18.42208485,18.89755655,17.94661315,-3.575496952,-3.100025254,-4.05096865,-0.2917872,-1.353833018
1900,18.41929562,18.89476732,17.94382392,-3.612237372,-3.136765674,-4.08770907,-0.281394665,-1.335276864
1950,18.41855081,18.89402251,17.94307911,-3.650272996,-3.174801298,-4.125744694,-0.307594414,-1.548487803
2000,18.43141405,18.90688575,17.95594235,-3.636615822,-3.161144124,-4.11208752,-0.346790108,-1.605242138
2050,18.45273424,18.92820594,17.97726254,-3.614180189,-3.138708491,-4.089651887,-0.316012773,-1.500440816
2100,18.48508975,18.96056145,18.00961805,-3.581921415,-3.106449717,-4.057393113,-0.231449305,-1.37392357
