sunfish_years,Abies,Acer rubrum,Acer saccharinum-type,Acer saccharum,Alnus incana-type,Alnus viridis-type,Betula,Carya,Castanea,Cornus stolonifera-type,Cornus florida,Corylus,Fagus,Fraxinus nigra-type,Fraxinus pennsylvanica-type,Ilex,Juglans cinerea,Juglans nigra,Juniperus/Thuja,Ericaceae,Empetrum/Ledum,Vaccinium-type,Andromeda,Rhododendron,Larix,Liquidambar,Magnolia,Morus,Myrica,Nyssa,Ostrya/Carpinus,Picea,Pinus banksiana/resinosa,Pinus strobus,Pinus undiff.,Platanus,Populus tremuloides-type,Prunus-type,Quercus,Salix,Sambusus,Sherperdia argentea,Spirea,Tilia,Tsuga,Ulmus,Viburnum,Vitis
-65,0,4,0,4,1,2,104,3,1,0,0,0,35,0,4,6,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,25,9,1,3,0,0,60,0,0,0,0,1,135,6,0,0
106.5,0,3,0,6,3,0,77,12,1,0,0,0,50,0,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,1,31,6,0,0,0,0,46,0,0,0,0,1,175,3,0,0
322,0,4,0,9,4,0,128,6,4,0,0,0,50,1,1,2,2,0,0,1,0,0,0,0,0,2,0,0,0,4,1,0,23,29,0,2,0,0,72,0,0,0,0,0,161,1,0,0
441,0,1,3,5,3,0,84,1,4,0,0,0,55,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,20,26,0,2,0,0,40,0,0,0,0,0,179,3,0,0
768,0,2,0,10,0,0,153,6,4,0,0,0,54,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,3,30,1,4,0,0,64,1,0,0,0,2,160,4,0,0
1219,2,5,3,6,1,0,154,5,5,0,0,1,54,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,14,21,2,1,0,0,81,0,0,0,0,2,113,6,0,0
1569,0,4,2,12,0,1,126,9,5,0,0,0,52,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,4,30,5,3,0,0,78,0,0,0,0,0,170,9,1,0
1992,1,1,0,11,3,1,73,12,7,0,0,0,59,11,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,9,0,26,14,3,0,0,0,66,0,0,0,0,2,90,5,0,0
2385.5,0,6,0,10,3,2,185,8,4,0,0,2,68,1,6,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,5,20,46,3,0,0,78,1,0,0,0,0,102,10,0,0
2790,0,5,0,7,4,0,142,10,8,0,0,1,51,4,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,2,3,1,4,47,18,0,0,0,78,0,0,0,0,0,169,4,0,0
2948,0,9,1,6,2,0,116,8,23,0,0,2,43,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,6,57,49,2,0,0,105,0,0,0,0,1,93,4,0,1
